ISIN,Symbol
US9311421039,WMT
US1912161007,KO
US7427181091,PG
US69608A1088,PLTR
US90184L1026,TWTR
US0079031078,AMD
US1255231003,CI
US30303M1027,FB
US87612E1064,TGT
US30161N1019,EXC
US0378331005,AAPL
US28414H1032,ELAN
US4581401001,INTC
US62914V1061,NIO
US70614W1009,PTON
US95058W1009,WEN
US29786A1060,ETSY
US1491231015,CAT
US68389X1054,ORCL
US92766K1060,SPCE
US2546871060,DIS
US8923561067,TSCO
IE00B3XXRP09,VUSA
US70450Y1038,PYPL
US90353T1007,UBER
US0605051046,BAC
US55616P1049,M
US25402D1028,DOCN
US5657881067,MARA
US91680M1071,UPST
US0865161014,BBY
US5494981039,LCID
CA53680Q2071,LAC
US0138721065,AA
US00827B1061,AFRM
US46817M1071,JXN
US33813J1060,FSR
US18915M1071,NET
